collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_oxa_193_complete,x50s_l22_a103v_point,gyr_a_t86i_point,bla_oxa_complete,tet_o_complete,aph_3_ii_ia_complete,gentamicin
2019,environmental/other,14,14,USA,chicken,0,1,1,1,0,0,0,0,0,1
2017,environmental/other,8,9,USA,chicken,1,1,1,0,0,0,0,0,0,1
2017,environmental/other,3,21,USA,chicken,1,1,1,0,0,0,0,0,0,1
2017,environmental/other,1,16,USA,chicken,1,1,1,0,0,0,1,0,0,1
2018,environmental/other,1,1,USA,chicken,2,1,1,0,0,0,0,0,0,1
2017,environmental/other,1,21,USA,chicken,1,1,1,0,1,0,0,0,0,1
2017,environmental/other,1,21,USA,chicken,1,1,1,0,1,0,0,0,0,1
2017,environmental/other,19,18,USA,chicken,0,1,0.9885714285714284,0,1,0,0,0,0,1
2019,environmental/other,1,6,USA,chicken,2,0.9357798165137614,1,1,0,0,0,0,0,1
2019,environmental/other,4,5,USA,pork,2,0.8715596330275229,0.8368794326241135,1,0,0,0,1,1,1
2019,environmental/other,0,0,USA,chicken,2,0.9357798165137614,0.8970099667774086,1,0,0,0,0,0,1
2016,environmental/other,19,37,USA,chicken,0,0.9829545454545454,1,0,0,0,0,1,0,1
2016,environmental/other,3,39,USA,chicken,1,0.9829545454545454,1,0,0,0,0,1,0,1
2017,environmental/other,3,36,USA,chicken,1,0.9829545454545454,1,0,0,0,0,1,0,1
2017,environmental/other,2,33,USA,chicken,1,0.9829545454545454,1,0,0,0,0,1,0,1
2017,environmental/other,9,19,USA,chicken,0,0.9829545454545454,1,0,0,0,0,1,0,1
2017,environmental/other,9,12,USA,chicken,0,0.9829545454545454,1,0,0,0,0,1,0,1
2018,environmental/other,21,30,USA,chicken,0,0.9829545454545454,1,0,0,0,0,1,0,1
2019,environmental/other,0,2,USA,chicken,2,0.8636363636363636,1,0,0,0,0,1,0,1
2018,environmental/other,4,4,USA,chicken,2,0.9516129032258064,1,0,0,0,0,0,0,1
2018,environmental/other,4,2,USA,chicken,2,0.9516129032258064,1,0,0,0,0,0,0,1
2018,environmental/other,4,7,USA,chicken,2,0.9516129032258064,1,0,0,0,0,0,0,1
2018,environmental/other,2,7,USA,chicken,2,0.9516129032258064,1,0,0,0,0,0,0,1
2019,environmental/other,2,2,USA,chicken,2,0.9032258064516128,1,0,0,0,0,0,0,1
2017,environmental/other,9,7,USA,chicken,1,0.9545454545454546,1,0,1,0,0,1,0,1
2017,environmental/other,10,13,USA,chicken,0,0.9545454545454546,1,0,1,0,0,1,0,1
2018,environmental/other,9,18,USA,other/unspecified,0,0.9545454545454546,1,0,1,0,0,1,0,1
2019,environmental/other,10,0,USA,chicken,1,0.8636363636363636,1,0,1,0,0,1,0,1
2016,environmental/other,3,8,USA,chicken,1,0.931818181818182,1,0,1,0,0,1,0,1
2019,environmental/other,4,1,USA,other/unspecified,2,0.931818181818182,1,0,1,0,0,1,0,1
2019,environmental/other,0,5,USA,chicken,2,0.8636363636363636,1,0,1,0,0,1,0,1
2016,environmental/other,12,11,USA,turkey,0,0.9435483870967742,1,1,0,0,0,0,0,1
2017,environmental/other,4,13,USA,other/unspecified,1,0.9596774193548387,1,1,0,0,0,0,0,1
2018,environmental/other,1,3,USA,chicken,2,0.9596774193548387,1,1,0,0,0,0,0,1
2019,environmental/other,3,1,USA,chicken,2,0.9832846478416098,1,0,0,0,0,0,0,1
2016,environmental/other,10,9,USA,beef,0,0.9772727272727272,1,1,0,0,0,1,0,1
2016,environmental/other,18,19,USA,beef,0,0.9772727272727272,1,1,0,0,0,1,0,1
2016,environmental/other,22,7,USA,beef,1,0.9772727272727272,1,1,0,0,0,1,0,1
2016,environmental/other,15,1,USA,beef,1,0.9772727272727272,1,1,0,0,0,1,0,1
