"collection_date","location","isolation_type","snp_cluster","min_same","min_diff","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
2015,"USA:GA","environmental/other","PDS000030380.1",3,NA,"Kentucky","Kentucky","USA","turkey",NA,"8:i:z6",0.966346153846154,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
2015,"USA:GA","environmental/other","PDS000030380.1",7,NA,"Kentucky","Kentucky","USA","turkey",NA,"8:i:z6",0.932692307692308,"1","1","0","0","0","0","0","0","0","1","1","1","0","1","1","1"
2015,"USA:GA","environmental/other","PDS000030380.1",3,NA,"Kentucky","Kentucky","USA","turkey",NA,"8:i:z6",0.966346153846154,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
2016,"USA:OH","environmental/other","PDS000030371.1",25,NA,"Anatum","Anatum","USA","pork",NA,"Other",0.745495495495496,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2014,"USA:NC","environmental/other","PDS000030371.1",25,NA,"Anatum","Anatum","USA","pork",NA,"Other",0.820361226611227,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
2014,"USA:FL","environmental/other","PDS000030371.1",26,NA,"Anatum","Anatum","USA","pork",NA,"Other",0.728018884268884,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2014,"USA:FL","environmental/other","PDS000030377.1",34,NA,"Mbandaka","Other","USA","beef",NA,"Other",0.959134615384615,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
2014,"USA:FL","environmental/other","PDS000030377.1",34,NA,"Mbandaka","Other","USA","beef",NA,"Other",0.959134615384615,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
2014,"USA:FL","environmental/other","PDS000030377.1",37,NA,"Mbandaka","Other","USA","beef",NA,"Other",0.918269230769231,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
2003,"USA:TN","environmental/other","PDS000030433.3",14,13,"Kentucky","Kentucky","USA","turkey",0,"8:i:z6",NA,"1","1","0","1","0","1","0","0","0","1","1","1","0","0","1","1"
2016,"USA:FL","environmental/other","PDS000030411.1",0,NA,"Derby","Other","USA","pork",NA,"Other",1,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2016,"USA:FL","environmental/other","PDS000030411.1",0,NA,"Derby","Other","USA","pork",NA,"Other",1,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2016,"USA:OH","environmental/other","PDS000030411.1",3,NA,"Derby","Other","USA","turkey",NA,"Other",1,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2016,"USA:UT","environmental/other","PDS000030544.1",15,NA,"Typhimurium","Typhimurium","USA","pork",NA,"4:i:1,2",1,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
2016,"USA:CA","environmental/other","PDS000030544.1",4,NA,"Typhimurium","Typhimurium","USA","pork",NA,"4:i:1,2",1,"1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
2014,"USA:KS","environmental/other","PDS000030550.1",14,NA,"Kentucky","Kentucky","USA","beef",NA,"8:i:z6",NA,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
2008,"USA:NM","environmental/other","PDS000030727.2",0,NA,"Derby","Other","USA","turkey",NA,"Other",0.877729257641921,"1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1"
